SK_ID_CURR,TARGET
100001,0.14
100005,0.23
100013,0.15
100028,0.14
100038,0.12
100042,0.13
100057,0.11
100065,0.14
100066,0.11
100067,0.22
100074,0.19
100090,0.16
100091,0.13
100092,0.15
100106,0.14
100107,0.21
100109,0.11
100117,0.19
100128,0.15
100141,0.13
100150,0.12
100168,0.12
100169,0.08
100170,0.1
100171,0.15
100172,0.21
100184,0.15
100187,0.15
100212,0.31
100222,0.21
100223,0.12
100232,0.18
100241,0.27
100245,0.11
100253,0.08
100256,0.21
100271,0.13
100278,0.33
100280,0.12
100306,0.29
100311,0.27
100312,0.22
100330,0.19
100331,0.14
100352,0.17
100358,0.11
100367,0.19
100382,0.24
100384,0.17
100385,0.2
100386,0.14
100399,0.11
100404,0.21
100416,0.08
100422,0.21
100426,0.08
100438,0.11
100444,0.18
100445,0.13
100446,0.16
100447,0.1
100450,0.24
100466,0.1
100483,0.11
100484,0.13
100494,0.13
100510,0.2
100512,0.2
100517,0.08
100548,0.13
100551,0.12
100552,0.22
100553,0.13
100561,0.18
100568,0.41
100569,0.09
100591,0.27
100592,0.06
100602,0.15
100607,0.1
100613,0.2
100617,0.17
100618,0.23
100622,0.2
100625,0.18
100677,0.25
100699,0.1
100702,0.32
100711,0.15
100729,0.21
100740,0.22
100744,0.27
100745,0.21
100747,0.17
100751,0.26
100752,0.22
100753,0.21
100754,0.24
100760,0.14
100762,0.19
100763,0.19
100765,0.06
100770,0.14
100772,0.07
100777,0.06
100791,0.08
100792,0.09
100797,0.12
100823,0.1
100826,0.14
100830,0.11
100836,0.28
100872,0.2
100910,0.15
100913,0.31
100918,0.13
100931,0.11
100952,0.07
100953,0.18
100965,0.31
100970,0.16
100982,0.24
100983,0.33
100984,0.11
100987,0.14
100997,0.16
100998,0.16
101002,0.13
101005,0.17
101008,0.21
101020,0.1
101021,0.23
101024,0.23
101025,0.17
101026,0.17
101031,0.14
101041,0.13
101051,0.1
101055,0.2
101056,0.27
101057,0.09
101064,0.17
101079,0.15
101087,0.11
101090,0.13
101092,0.15
101097,0.17
101099,0.13
101107,0.23
101118,0.18
101125,0.16
101126,0.07
101128,0.1
101136,0.27
101140,0.29
101149,0.21
101160,0.1
101169,0.13
101181,0.09
101186,0.12
101190,0.21
101193,0.2
101194,0.29
101198,0.23
101200,0.08
101204,0.1
101211,0.22
101213,0.19
101223,0.15
101225,0.19
101237,0.18
101243,0.18
101244,0.17
101258,0.14
101259,0.22
101268,0.19
101269,0.1
101271,0.27
101279,0.15
101281,0.22
101287,0.09
101292,0.14
101294,0.1
101296,0.16
101297,0.2
101299,0.15
101301,0.13
101305,0.22
101308,0.17
101318,0.05
101327,0.2
101329,0.06
101332,0.19
101337,0.16
101343,0.08
101345,0.11
101346,0.08
101353,0.11
101354,0.3
101355,0.22
101356,0.1
101362,0.15
101363,0.2
101365,0.12
101366,0.17
101367,0.2
101368,0.09
101374,0.15
101380,0.1
101383,0.12
101398,0.13
101399,0.34
101401,0.17
101412,0.17
101426,0.12
101427,0.31
101428,0.24
101429,0.27
101434,0.12
101440,0.22
101448,0.14
101449,0.08
101465,0.1
101467,0.09
101472,0.15
101478,0.31
101497,0.18
101504,0.29
101547,0.18
101548,0.16
101555,0.25
101570,0.21
101572,0.12
101578,0.21
101580,0.24
101588,0.23
101602,0.14
101610,0.2
101614,0.12
101616,0.1
101643,0.15
101644,0.13
101649,0.17
101650,0.17
101665,0.14
101667,0.16
101669,0.21
101674,0.11
101675,0.08
101678,0.14
101682,0.15
101686,0.12
101697,0.33
101700,0.21
101711,0.12
101714,0.14
101715,0.32
101728,0.16
101732,0.16
101757,0.26
101758,0.11
101759,0.14
101762,0.08
101764,0.08
101780,0.23
101784,0.08
101789,0.18
101816,0.11
101819,0.08
101827,0.07
101863,0.2
101867,0.12
101870,0.06
101873,0.31
101878,0.19
101879,0.2
101880,0.06
101887,0.13
101897,0.17
101901,0.09
101903,0.29
101920,0.17
101921,0.11
101922,0.18
101961,0.17
101962,0.08
101971,0.18
101976,0.2
102002,0.25
102005,0.13
102007,0.33
102017,0.13
102019,0.28
102029,0.14
102051,0.26
102052,0.07
102054,0.14
102062,0.13
102067,0.37
102068,0.17
102070,0.1
102090,0.16
102092,0.15
102099,0.15
102100,0.2
102112,0.11
102113,0.2
102122,0.28
102123,0.23
102125,0.07
102126,0.22
102146,0.13
102147,0.15
102151,0.13
102158,0.15
102159,0.09
102162,0.24
102165,0.14
102166,0.11
102174,0.12
102193,0.29
102198,0.18
102205,0.22
102206,0.13
102218,0.19
102221,0.07
102230,0.12
102238,0.11
102248,0.13
102252,0.35
102259,0.22
102262,0.28
102273,0.15
102286,0.31
102293,0.09
102294,0.13
102296,0.07
102298,0.13
102303,0.11
102309,0.06
102315,0.14
102340,0.2
102342,0.18
102344,0.15
102346,0.1
102347,0.14
102374,0.28
102380,0.11
102387,0.13
102393,0.16
102403,0.11
102413,0.14
102414,0.09
102415,0.13
102416,0.14
102439,0.16
102441,0.09
102443,0.13
102444,0.2
102445,0.22
102448,0.19
102449,0.11
102450,0.24
102456,0.13
102458,0.13
102459,0.1
102465,0.12
102470,0.33
102471,0.13
102475,0.15
102476,0.21
102506,0.16
102509,0.06
102519,0.14
102522,0.12
102545,0.11
102549,0.1
102562,0.08
102563,0.04
102568,0.14
102582,0.04
102592,0.07
102597,0.2
102605,0.19
102614,0.13
102617,0.23
102634,0.16
102652,0.11
102655,0.07
102671,0.14
102694,0.27
102701,0.17
102703,0.05
102704,0.09
102713,0.21
102720,0.27
102731,0.15
102733,0.07
102749,0.15
102755,0.15
102763,0.16
102770,0.15
102772,0.25
102799,0.32
102838,0.12
102854,0.2
102862,0.16
102863,0.09
102867,0.11
102868,0.13
102878,0.15
102887,0.08
102898,0.35
102904,0.12
102912,0.18
102919,0.1
102927,0.09
102932,0.14
102933,0.12
102935,0.11
102958,0.07
102969,0.15
102971,0.14
102975,0.05
102979,0.11
102982,0.1
102987,0.26
102989,0.18
102995,0.22
102996,0.13
103000,0.09
103001,0.23
103004,0.14
103010,0.13
103025,0.25
103029,0.11
103046,0.13
103056,0.17
103062,0.28
103078,0.15
103083,0.06
103092,0.11
103096,0.1
103097,0.25
103102,0.26
103112,0.22
103132,0.09
103144,0.14
103145,0.19
103146,0.09
103147,0.15
103158,0.14
103171,0.12
103173,0.12
103184,0.1
103195,0.32
103196,0.24
103206,0.14
103230,0.14
103231,0.14
103232,0.18
103239,0.28
103240,0.28
103243,0.2
103252,0.1
103258,0.18
103259,0.16
103279,0.1
103280,0.07
103286,0.06
103287,0.42
103290,0.14
103298,0.17
103315,0.09
103319,0.1
103334,0.13
103336,0.2
103345,0.1
103368,0.19
103371,0.25
103377,0.14
103398,0.1
103404,0.13
103408,0.33
103410,0.16
103418,0.15
103420,0.25
103432,0.17
103433,0.08
103436,0.1
103440,0.13
103453,0.11
103459,0.15
103460,0.15
103461,0.09
103462,0.18
103473,0.22
103474,0.09
103475,0.27
103478,0.2
103480,0.23
103484,0.11
103494,0.15
103513,0.15
103515,0.16
103516,0.2
103525,0.27
103541,0.22
103544,0.07
103562,0.25
103570,0.26
103572,0.17
103574,0.12
103575,0.09
103591,0.23
103594,0.19
103609,0.12
103613,0.19
103614,0.21
103615,0.14
103624,0.11
103625,0.25
103628,0.26
103629,0.11
103647,0.09
103648,0.15
103651,0.17
103658,0.11
103668,0.1
103669,0.15
103676,0.12
103682,0.11
103683,0.12
103689,0.07
103725,0.06
103733,0.22
103744,0.12
103762,0.22
103771,0.31
103773,0.1
103783,0.09
103784,0.15
103808,0.09
103812,0.17
103813,0.22
103814,0.14
103818,0.23
103824,0.13
103828,0.08
103830,0.27
103840,0.13
103842,0.17
103847,0.32
103848,0.18
103851,0.05
103854,0.26
103857,0.22
103861,0.14
103862,0.24
103865,0.16
103870,0.07
103876,0.07
103891,0.47
103908,0.06
103914,0.27
103918,0.09
103940,0.16
103963,0.19
103966,0.22
103971,0.19
103980,0.22
103984,0.2
103985,0.1
103998,0.24
104019,0.09
104026,0.12
104035,0.21
104044,0.18
104045,0.06
104047,0.24
104051,0.15
104058,0.21
104063,0.05
104066,0.22
104087,0.1
104089,0.14
104095,0.14
104098,0.18
104104,0.07
104110,0.33
104120,0.25
104122,0.07
104131,0.16
104132,0.2
104135,0.05
104136,0.23
104149,0.18
104150,0.1
104156,0.24
104165,0.14
104175,0.06
104179,0.11
104184,0.21
104206,0.13
104216,0.22
104230,0.19
104257,0.14
104272,0.1
104273,0.14
104278,0.1
104294,0.21
104295,0.1
104297,0.07
104298,0.16
104308,0.15
104318,0.06
104319,0.14
104320,0.22
104327,0.14
104334,0.18
104344,0.23
104350,0.16
104351,0.22
104354,0.13
104369,0.21
104376,0.1
104381,0.14
104384,0.14
104391,0.14
104394,0.1
104398,0.24
104402,0.16
104408,0.16
104409,0.07
104410,0.29
104412,0.2
104417,0.31
104424,0.23
104426,0.12
104435,0.13
104445,0.18
104458,0.07
104460,0.09
104466,0.09
104472,0.11
104473,0.16
104479,0.14
104480,0.07
104482,0.22
104499,0.1
104501,0.15
104502,0.12
104506,0.07
104510,0.11
104512,0.32
104520,0.16
104528,0.21
104529,0.22
104541,0.11
104578,0.16
104584,0.28
104588,0.2
104602,0.19
104610,0.15
104611,0.18
104618,0.13
104620,0.13
104622,0.05
104624,0.19
104625,0.15
104634,0.15
104639,0.14
104646,0.1
104647,0.09
104652,0.1
104670,0.2
104677,0.09
104685,0.19
104691,0.13
104696,0.26
104699,0.1
104712,0.16
104714,0.13
104717,0.21
104718,0.1
104740,0.12
104741,0.1
104743,0.11
104744,0.1
104747,0.17
104767,0.19
104772,0.33
104776,0.24
104779,0.12
104814,0.19
104815,0.14
104830,0.12
104831,0.19
104833,0.26
104839,0.21
104840,0.09
104860,0.25
104861,0.2
104866,0.07
104870,0.1
104877,0.17
104878,0.16
104879,0.13
104880,0.16
104899,0.14
104906,0.14
104907,0.18
104913,0.15
104916,0.13
104921,0.2
104930,0.15
104931,0.27
104936,0.13
104937,0.16
104942,0.13
104943,0.17
104969,0.29
104972,0.25
104988,0.07
105013,0.14
105015,0.09
105019,0.11
105027,0.21
105030,0.11
105035,0.29
105041,0.15
105051,0.19
105056,0.09
105067,0.46
105071,0.2
105072,0.15
105074,0.15
105091,0.07
105101,0.1
105103,0.07
105134,0.11
105139,0.08
105142,0.27
105146,0.09
105163,0.06
105168,0.21
105172,0.09
105176,0.42
105195,0.17
105196,0.21
105197,0.11
105203,0.07
105223,0.16
105227,0.34
105228,0.11
105230,0.31
105231,0.36
105239,0.08
105242,0.14
105244,0.15
105245,0.12
105248,0.11
105249,0.2
105266,0.26
105271,0.16
105276,0.13
105282,0.17
105292,0.16
105297,0.09
105332,0.14
105333,0.12
105343,0.22
105344,0.18
105345,0.15
105357,0.13
105359,0.11
105366,0.16
105367,0.19
105370,0.1
105377,0.1
105390,0.15
105399,0.11
105403,0.19
105404,0.05
105414,0.07
105417,0.09
105425,0.31
105452,0.22
105454,0.16
105456,0.16
105470,0.1
105471,0.14
105483,0.17
105493,0.15
105508,0.24
105514,0.17
105515,0.08
105528,0.38
105529,0.14
105531,0.11
105532,0.15
105558,0.13
105574,0.14
105578,0.17
105584,0.25
105595,0.17
105617,0.27
105618,0.19
105621,0.06
105625,0.18
105629,0.15
105630,0.07
105634,0.1
105635,0.11
105641,0.12
105647,0.15
105648,0.12
105655,0.14
105657,0.09
105672,0.14
105678,0.17
105682,0.18
105691,0.13
105692,0.13
105706,0.22
105712,0.18
105720,0.24
105734,0.08
105735,0.14
105736,0.18
105737,0.09
105738,0.24
105740,0.16
105744,0.16
105747,0.22
105749,0.22
105754,0.13
105758,0.14
105760,0.12
105767,0.18
105784,0.21
105791,0.09
105802,0.21
105807,0.31
105809,0.13
105816,0.07
105817,0.15
105824,0.32
105832,0.19
105856,0.13
105865,0.16
105899,0.27
105906,0.14
105916,0.11
105923,0.19
105937,0.16
105965,0.09
105966,0.2
105968,0.24
105973,0.09
105976,0.08
105978,0.08
105979,0.16
105991,0.18
105998,0.19
105999,0.08
106000,0.4
106001,0.1
106010,0.16
106011,0.16
106013,0.25
106015,0.19
106026,0.13
106032,0.12
106035,0.29
106040,0.09
106041,0.18
106044,0.11
106053,0.28
106054,0.02
106065,0.32
106081,0.18
106083,0.14
106087,0.11
106090,0.26
106101,0.2
106102,0.09
106109,0.12
106116,0.17
106150,0.11
106155,0.2
106166,0.19
106176,0.17
106189,0.07
106199,0.19
106205,0.14
106206,0.25
106211,0.2
106214,0.14
106216,0.1
106217,0.14
106225,0.08
106249,0.23
106256,0.17
106258,0.14
106261,0.14
106262,0.2
106264,0.09
106271,0.09
106276,0.11
106277,0.14
106286,0.18
106293,0.07
106295,0.12
106296,0.1
106297,0.18
106298,0.17
106311,0.07
106314,0.22
106320,0.15
106334,0.16
106346,0.2
106347,0.07
106349,0.1
106354,0.11
106360,0.07
106373,0.2
106377,0.17
106386,0.14
106387,0.12
106391,0.13
106401,0.2
106411,0.21
106413,0.31
106426,0.15
106427,0.2
106428,0.16
106434,0.11
106438,0.2
106440,0.16
106441,0.07
106452,0.19
106453,0.17
106454,0.12
106457,0.15
106484,0.09
106488,0.19
